Image Name,Input,Expected Output
lobster-telephone-black-and-white.jpg,The meaning behind this sculpture about items that reveal hidden desires of the unconscious was?,The meaning behind the sculpture is to reveal the hidden desires of the unconscious.
bullsheadpicassoblackandwhite.jpg,This sculpture made using assemblage was?,"Yes, it was made using assemblage."
bullsheadpicassoblackandwhite.jpg,This sculpture made when?,1942
bullsheadpicassoblackandwhite.jpg,The significance of the sculpture about heterogeneous items that have so much unity that it's difficult to identify each item individually was?,"Yes, the significance was that heterogenous items with a lot of unity can come together as one and make it seem as if one cannot tell them apart."
mae_west_black_and_white_blur.jpg,This sculpture created using assemblage was?,The sculpture was not created using assemblage.
mae_west_black_and_white_blur.jpg,This sculpture created when?,1937
mae_west_black_and_white_blur.jpg,The meaning behind this sculpture about being able to comfortably sit somewhere but simultaneously be uncomfortable was?,"Yes, the meaning behind the sculpture is being able to comfortably sit somewhere but be uncomfortable at the same time."
man-with-lamb-black-and-white-blur.jpg,This sculpture carved out of bronze was?,"Yes, it was carved out of bronze."
man-with-lamb-black-and-white-blur.jpg,This sculpture created when?,1943
man-with-lamb-black-and-white-blur.jpg,This sculpture about the fight against fascism in Nazi-occupied Paris was?,"Yes, it was about fighting against facism in Nazi-occupied Paris."
